Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
33.9,94.5,8.9,15.1,33.2,11.7,1.89,4.3,680,Poor
27.8,83.3,13.5,30.5,21.6,0.7,1.64,5.4,653,Moderate
28.0,83.9,20.9,37.3,21.3,11.1,1.56,5.7,442,Moderate
22.5,67.1,2.9,9.5,16.5,8.5,1.17,12.6,226,Good
37.0,100.4,19.8,34.2,32.7,15.8,2.18,3.9,745,Poor
25.6,78.1,1.1,5.2,21.3,6.1,0.89,10.9,524,Good
33.2,90.6,42.9,57.2,22.4,13.0,2.44,7.5,497,Poor
22.4,46.5,7.1,12.7,27.8,3.4,0.92,10.9,473,Good
27.6,51.3,6.0,12.7,32.6,6.4,1.44,5.1,386,Moderate
26.4,76.1,16.6,21.8,20.2,5.7,1.73,5.3,633,Moderate
